Title,"HE student enrolments by CAH level 1 subject, sex, first year marker, level of study, mode of study and country of HE provider",,,,,,
Location,UK,,,,,,
Academic years,2019/20,,,,,,
Data source,HESA,,,,,,
Data collection,"051,054",,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-13,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-13.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2019/20 total,2532385,,,,,,
,,,,,,,
Last updated,Jan-21,,,,,,
,,,,,,,
CAH level 1,First year marker,Level of study,Mode of study,Country of HE provider,Sex,Academic Year,Number
05 Veterinary sciences,Other years,Postgraduate (taught),All,All,Other,2019/20,0
05 Veterinary sciences,Other years,Postgraduate (taught),All,All,Total,2019/20,1255
05 Veterinary sciences,Other years,Postgraduate (taught),Full-time,All,Female,2019/20,70
05 Veterinary sciences,Other years,Postgraduate (taught),Full-time,All,Male,2019/20,45
05 Veterinary sciences,Other years,Postgraduate (taught),Full-time,All,Other,2019/20,0
05 Veterinary sciences,Other years,Postgraduate (taught),Full-time,All,Total,2019/20,115
05 Veterinary sciences,Other years,Postgraduate (taught),Part-time,All,Female,2019/20,855
05 Veterinary sciences,Other years,Postgraduate (taught),Part-time,All,Male,2019/20,285
05 Veterinary sciences,Other years,Postgraduate (taught),Part-time,All,Other,2019/20,0
05 Veterinary sciences,Other years,Postgraduate (taught),Part-time,All,Total,2019/20,1140
05 Veterinary sciences,Other years,Postgraduate (taught),All,England,Female,2019/20,835
05 Veterinary sciences,Other years,Postgraduate (taught),All,England,Male,2019/20,305
05 Veterinary sciences,Other years,Postgraduate (taught),All,England,Other,2019/20,0
05 Veterinary sciences,Other years,Postgraduate (taught),All,England,Total,2019/20,1145
05 Veterinary sciences,Other years,Postgraduate (taught),Full-time,England,Female,2019/20,55
05 Veterinary sciences,Other years,Postgraduate (taught),Full-time,England,Male,2019/20,30
05 Veterinary sciences,Other years,Postgraduate (taught),Full-time,England,Other,2019/20,0
05 Veterinary sciences,Other years,Postgraduate (taught),Full-time,England,Total,2019/20,85
05 Veterinary sciences,Other years,Postgraduate (taught),Part-time,England,Female,2019/20,780
05 Veterinary sciences,Other years,Postgraduate (taught),Part-time,England,Male,2019/20,275
05 Veterinary sciences,Other years,Postgraduate (taught),Part-time,England,Other,2019/20,0
05 Veterinary sciences,Other years,Postgraduate (taught),Part-time,England,Total,2019/20,1060
05 Veterinary sciences,Other years,Postgraduate (taught),All,Scotland,Female,2019/20,85
05 Veterinary sciences,Other years,Postgraduate (taught),All,Scotland,Male,2019/20,20
05 Veterinary sciences,Other years,Postgraduate (taught),All,Scotland,Other,2019/20,0
05 Veterinary sciences,Other years,Postgraduate (taught),All,Scotland,Total,2019/20,110
05 Veterinary sciences,Other years,Postgraduate (taught),Full-time,Scotland,Female,2019/20,15
05 Veterinary sciences,Other years,Postgraduate (taught),Full-time,Scotland,Male,2019/20,15
05 Veterinary sciences,Other years,Postgraduate (taught),Full-time,Scotland,Other,2019/20,0
05 Veterinary sciences,Other years,Postgraduate (taught),Full-time,Scotland,Total,2019/20,25
05 Veterinary sciences,Other years,Postgraduate (taught),Part-time,Scotland,Female,2019/20,75
05 Veterinary sciences,Other years,Postgraduate (taught),Part-time,Scotland,Male,2019/20,10
05 Veterinary sciences,Other years,Postgraduate (taught),Part-time,Scotland,Other,2019/20,0
05 Veterinary sciences,Other years,Postgraduate (taught),Part-time,Scotland,Total,2019/20,80
05 Veterinary sciences,All,All postgraduate,All,All,Female,2019/20,1720
05 Veterinary sciences,All,All postgraduate,All,All,Male,2019/20,635
05 Veterinary sciences,All,All postgraduate,All,All,Other,2019/20,0
05 Veterinary sciences,All,All postgraduate,All,All,Total,2019/20,2355
05 Veterinary sciences,All,All postgraduate,Full-time,All,Female,2019/20,360
05 Veterinary sciences,All,All postgraduate,Full-time,All,Male,2019/20,205
05 Veterinary sciences,All,All postgraduate,Full-time,All,Other,2019/20,0
05 Veterinary sciences,All,All postgraduate,Full-time,All,Total,2019/20,565
05 Veterinary sciences,All,All postgraduate,Part-time,All,Female,2019/20,1360
05 Veterinary sciences,All,All postgraduate,Part-time,All,Male,2019/20,430
05 Veterinary sciences,All,All postgraduate,Part-time,All,Other,2019/20,0
05 Veterinary sciences,All,All postgraduate,Part-time,All,Total,2019/20,1795
05 Veterinary sciences,All,All postgraduate,All,England,Female,2019/20,1485
05 Veterinary sciences,All,All postgraduate,All,England,Male,2019/20,535
05 Veterinary sciences,All,All postgraduate,All,England,Other,2019/20,0
05 Veterinary sciences,All,All postgraduate,All,England,Total,2019/20,2020
05 Veterinary sciences,All,All postgraduate,Full-time,England,Female,2019/20,255
05 Veterinary sciences,All,All postgraduate,Full-time,England,Male,2019/20,130
05 Veterinary sciences,All,All postgraduate,Full-time,England,Other,2019/20,0
05 Veterinary sciences,All,All postgraduate,Full-time,England,Total,2019/20,385
05 Veterinary sciences,All,All postgraduate,Part-time,England,Female,2019/20,1225
05 Veterinary sciences,All,All postgraduate,Part-time,England,Male,2019/20,405
05 Veterinary sciences,All,All postgraduate,Part-time,England,Other,2019/20,0
05 Veterinary sciences,All,All postgraduate,Part-time,England,Total,2019/20,1635
05 Veterinary sciences,All,All postgraduate,All,Northern Ireland,Female,2019/20,0
05 Veterinary sciences,All,All postgraduate,All,Northern Ireland,Male,2019/20,0
05 Veterinary sciences,All,All postgraduate,All,Northern Ireland,Other,2019/20,0
05 Veterinary sciences,All,All postgraduate,All,Northern Ireland,Total,2019/20,5
05 Veterinary sciences,All,All postgraduate,Part-time,Northern Ireland,Female,2019/20,0
05 Veterinary sciences,All,All postgraduate,Part-time,Northern Ireland,Male,2019/20,0
05 Veterinary sciences,All,All postgraduate,Part-time,Northern Ireland,Other,2019/20,0
05 Veterinary sciences,All,All postgraduate,Part-time,Northern Ireland,Total,2019/20,5
05 Veterinary sciences,All,All postgraduate,All,Scotland,Female,2019/20,235
05 Veterinary sciences,All,All postgraduate,All,Scotland,Male,2019/20,100
05 Veterinary sciences,All,All postgraduate,All,Scotland,Other,2019/20,0
05 Veterinary sciences,All,All postgraduate,All,Scotland,Total,2019/20,335
05 Veterinary sciences,All,All postgraduate,Full-time,Scotland,Female,2019/20,105
05 Veterinary sciences,All,All postgraduate,Full-time,Scotland,Male,2019/20,75
05 Veterinary sciences,All,All postgraduate,Full-time,Scotland,Other,2019/20,0
05 Veterinary sciences,All,All postgraduate,Full-time,Scotland,Total,2019/20,180
05 Veterinary sciences,All,All postgraduate,Part-time,Scotland,Female,2019/20,130
05 Veterinary sciences,All,All postgraduate,Part-time,Scotland,Male,2019/20,25
05 Veterinary sciences,All,All postgraduate,Part-time,Scotland,Other,2019/20,0
05 Veterinary sciences,All,All postgraduate,Part-time,Scotland,Total,2019/20,155
05 Veterinary sciences,First year,All postgraduate,All,All,Female,2019/20,630
05 Veterinary sciences,First year,All postgraduate,All,All,Male,2019/20,215
05 Veterinary sciences,First year,All postgraduate,All,All,Other,2019/20,0
05 Veterinary sciences,First year,All postgraduate,All,All,Total,2019/20,845
05 Veterinary sciences,First year,All postgraduate,Full-time,All,Female,2019/20,160
05 Veterinary sciences,First year,All postgraduate,Full-time,All,Male,2019/20,85
05 Veterinary sciences,First year,All postgraduate,Full-time,All,Other,2019/20,0
05 Veterinary sciences,First year,All postgraduate,Full-time,All,Total,2019/20,250
05 Veterinary sciences,First year,All postgraduate,Part-time,All,Female,2019/20,465
05 Veterinary sciences,First year,All postgraduate,Part-time,All,Male,2019/20,130
05 Veterinary sciences,First year,All postgraduate,Part-time,All,Other,2019/20,0
05 Veterinary sciences,First year,All postgraduate,Part-time,All,Total,2019/20,595
05 Veterinary sciences,First year,All postgraduate,All,England,Female,2019/20,530
05 Veterinary sciences,First year,All postgraduate,All,England,Male,2019/20,170
05 Veterinary sciences,First year,All postgraduate,All,England,Other,2019/20,0
05 Veterinary sciences,First year,All postgraduate,All,England,Total,2019/20,700
05 Veterinary sciences,First year,All postgraduate,Full-time,England,Female,2019/20,115
05 Veterinary sciences,First year,All postgraduate,Full-time,England,Male,2019/20,55
05 Veterinary sciences,First year,All postgraduate,Full-time,England,Other,2019/20,0
05 Veterinary sciences,First year,All postgraduate,Full-time,England,Total,2019/20,165
05 Veterinary sciences,First year,All postgraduate,Part-time,England,Female,2019/20,415
05 Veterinary sciences,First year,All postgraduate,Part-time,England,Male,2019/20,115
05 Veterinary sciences,First year,All postgraduate,Part-time,England,Other,2019/20,0
05 Veterinary sciences,First year,All postgraduate,Part-time,England,Total,2019/20,535
05 Veterinary sciences,First year,All postgraduate,All,Northern Ireland,Female,2019/20,0
05 Veterinary sciences,First year,All postgraduate,All,Northern Ireland,Male,2019/20,0
05 Veterinary sciences,First year,All postgraduate,All,Northern Ireland,Other,2019/20,0
05 Veterinary sciences,First year,All postgraduate,All,Northern Ireland,Total,2019/20,5
05 Veterinary sciences,First year,All postgraduate,Part-time,Northern Ireland,Female,2019/20,0
05 Veterinary sciences,First year,All postgraduate,Part-time,Northern Ireland,Male,2019/20,0
05 Veterinary sciences,First year,All postgraduate,Part-time,Northern Ireland,Other,2019/20,0
05 Veterinary sciences,First year,All postgraduate,Part-time,Northern Ireland,Total,2019/20,5
05 Veterinary sciences,First year,All postgraduate,All,Scotland,Female,2019/20,95
05 Veterinary sciences,First year,All postgraduate,All,Scotland,Male,2019/20,45
05 Veterinary sciences,First year,All postgraduate,All,Scotland,Other,2019/20,0
05 Veterinary sciences,First year,All postgraduate,All,Scotland,Total,2019/20,145
05 Veterinary sciences,First year,All postgraduate,Full-time,Scotland,Female,2019/20,50
05 Veterinary sciences,First year,All postgraduate,Full-time,Scotland,Male,2019/20,35
05 Veterinary sciences,First year,All postgraduate,Full-time,Scotland,Other,2019/20,0
05 Veterinary sciences,First year,All postgraduate,Full-time,Scotland,Total,2019/20,80
05 Veterinary sciences,First year,All postgraduate,Part-time,Scotland,Female,2019/20,50
05 Veterinary sciences,First year,All postgraduate,Part-time,Scotland,Male,2019/20,10
05 Veterinary sciences,First year,All postgraduate,Part-time,Scotland,Other,2019/20,0
05 Veterinary sciences,First year,All postgraduate,Part-time,Scotland,Total,2019/20,60
05 Veterinary sciences,Other years,All postgraduate,All,All,Female,2019/20,1090
05 Veterinary sciences,Other years,All postgraduate,All,All,Male,2019/20,420
05 Veterinary sciences,Other years,All postgraduate,All,All,Other,2019/20,0
05 Veterinary sciences,Other years,All postgraduate,All,All,Total,2019/20,1510
05 Veterinary sciences,Other years,All postgraduate,Full-time,All,Female,2019/20,200
05 Veterinary sciences,Other years,All postgraduate,Full-time,All,Male,2019/20,115
05 Veterinary sciences,Other years,All postgraduate,Full-time,All,Other,2019/20,0
05 Veterinary sciences,Other years,All postgraduate,Full-time,All,Total,2019/20,315
05 Veterinary sciences,Other years,All postgraduate,Part-time,All,Female,2019/20,895
05 Veterinary sciences,Other years,All postgraduate,Part-time,All,Male,2019/20,305
05 Veterinary sciences,Other years,All postgraduate,Part-time,All,Other,2019/20,0
05 Veterinary sciences,Other years,All postgraduate,Part-time,All,Total,2019/20,1195
05 Veterinary sciences,Other years,All postgraduate,All,England,Female,2019/20,955
05 Veterinary sciences,Other years,All postgraduate,All,England,Male,2019/20,365
05 Veterinary sciences,Other years,All postgraduate,All,England,Other,2019/20,0
05 Veterinary sciences,Other years,All postgraduate,All,England,Total,2019/20,1320
05 Veterinary sciences,Other years,All postgraduate,Full-time,England,Female,2019/20,145
05 Veterinary sciences,Other years,All postgraduate,Full-time,England,Male,2019/20,75
05 Veterinary sciences,Other years,All postgraduate,Full-time,England,Other,2019/20,0
05 Veterinary sciences,Other years,All postgraduate,Full-time,England,Total,2019/20,220
05 Veterinary sciences,Other years,All postgraduate,Part-time,England,Female,2019/20,810
05 Veterinary sciences,Other years,All postgraduate,Part-time,England,Male,2019/20,290
05 Veterinary sciences,Other years,All postgraduate,Part-time,England,Other,2019/20,0
05 Veterinary sciences,Other years,All postgraduate,Part-time,England,Total,2019/20,1100
05 Veterinary sciences,Other years,All postgraduate,All,Scotland,Female,2019/20,140
05 Veterinary sciences,Other years,All postgraduate,All,Scotland,Male,2019/20,55
05 Veterinary sciences,Other years,All postgraduate,All,Scotland,Other,2019/20,0
05 Veterinary sciences,Other years,All postgraduate,All,Scotland,Total,2019/20,195
05 Veterinary sciences,Other years,All postgraduate,Full-time,Scotland,Female,2019/20,55
05 Veterinary sciences,Other years,All postgraduate,Full-time,Scotland,Male,2019/20,40
05 Veterinary sciences,Other years,All postgraduate,Full-time,Scotland,Other,2019/20,0
05 Veterinary sciences,Other years,All postgraduate,Full-time,Scotland,Total,2019/20,95
05 Veterinary sciences,Other years,All postgraduate,Part-time,Scotland,Female,2019/20,85
05 Veterinary sciences,Other years,All postgraduate,Part-time,Scotland,Male,2019/20,15
05 Veterinary sciences,Other years,All postgraduate,Part-time,Scotland,Other,2019/20,0
05 Veterinary sciences,Other years,All postgraduate,Part-time,Scotland,Total,2019/20,95
05 Veterinary sciences,All,First degree,All,All,Female,2019/20,6575
05 Veterinary sciences,All,First degree,All,All,Male,2019/20,1290
05 Veterinary sciences,All,First degree,All,All,Other,2019/20,5
05 Veterinary sciences,All,First degree,All,All,Total,2019/20,7870
05 Veterinary sciences,All,First degree,Full-time,All,Female,2019/20,6455
05 Veterinary sciences,All,First degree,Full-time,All,Male,2019/20,1275
05 Veterinary sciences,All,First degree,Full-time,All,Other,2019/20,5
05 Veterinary sciences,All,First degree,Full-time,All,Total,2019/20,7735
05 Veterinary sciences,All,First degree,Part-time,All,Female,2019/20,120
05 Veterinary sciences,All,First degree,Part-time,All,Male,2019/20,10
05 Veterinary sciences,All,First degree,Part-time,All,Other,2019/20,0
05 Veterinary sciences,All,First degree,Part-time,All,Total,2019/20,130
05 Veterinary sciences,All,First degree,All,England,Female,2019/20,4965
05 Veterinary sciences,All,First degree,All,England,Male,2019/20,1045
05 Veterinary sciences,All,First degree,All,England,Other,2019/20,5
05 Veterinary sciences,All,First degree,All,England,Total,2019/20,6015
05 Veterinary sciences,All,First degree,Full-time,England,Female,2019/20,4900
05 Veterinary sciences,All,First degree,Full-time,England,Male,2019/20,1035
05 Veterinary sciences,All,First degree,Full-time,England,Other,2019/20,5
05 Veterinary sciences,All,First degree,Full-time,England,Total,2019/20,5935
05 Veterinary sciences,All,First degree,Part-time,England,Female,2019/20,70
05 Veterinary sciences,All,First degree,Part-time,England,Male,2019/20,10
05 Veterinary sciences,All,First degree,Part-time,England,Other,2019/20,0
05 Veterinary sciences,All,First degree,Part-time,England,Total,2019/20,75
05 Veterinary sciences,All,First degree,All,Scotland,Female,2019/20,1530
05 Veterinary sciences,All,First degree,All,Scotland,Male,2019/20,235
05 Veterinary sciences,All,First degree,All,Scotland,Other,2019/20,0
05 Veterinary sciences,All,First degree,All,Scotland,Total,2019/20,1765
05 Veterinary sciences,All,First degree,Full-time,Scotland,Female,2019/20,1480
05 Veterinary sciences,All,First degree,Full-time,Scotland,Male,2019/20,235
05 Veterinary sciences,All,First degree,Full-time,Scotland,Other,2019/20,0
05 Veterinary sciences,All,First degree,Full-time,Scotland,Total,2019/20,1715
05 Veterinary sciences,All,First degree,Part-time,Scotland,Female,2019/20,50
05 Veterinary sciences,All,First degree,Part-time,Scotland,Male,2019/20,0
05 Veterinary sciences,All,First degree,Part-time,Scotland,Other,2019/20,0
05 Veterinary sciences,All,First degree,Part-time,Scotland,Total,2019/20,50
05 Veterinary sciences,All,First degree,All,Wales,Female,2019/20,80
05 Veterinary sciences,All,First degree,All,Wales,Male,2019/20,10
05 Veterinary sciences,All,First degree,All,Wales,Other,2019/20,0
05 Veterinary sciences,All,First degree,All,Wales,Total,2019/20,85
05 Veterinary sciences,All,First degree,Full-time,Wales,Female,2019/20,75
05 Veterinary sciences,All,First degree,Full-time,Wales,Male,2019/20,10
05 Veterinary sciences,All,First degree,Full-time,Wales,Other,2019/20,0
05 Veterinary sciences,All,First degree,Full-time,Wales,Total,2019/20,85
05 Veterinary sciences,All,First degree,Part-time,Wales,Female,2019/20,0
05 Veterinary sciences,All,First degree,Part-time,Wales,Male,2019/20,0
05 Veterinary sciences,All,First degree,Part-time,Wales,Other,2019/20,0
05 Veterinary sciences,All,First degree,Part-time,Wales,Total,2019/20,0
05 Veterinary sciences,First year,First degree,All,All,Female,2019/20,1710
05 Veterinary sciences,First year,First degree,All,All,Male,2019/20,305
05 Veterinary sciences,First year,First degree,All,All,Other,2019/20,0
05 Veterinary sciences,First year,First degree,All,All,Total,2019/20,2020
05 Veterinary sciences,First year,First degree,Full-time,All,Female,2019/20,1675
05 Veterinary sciences,First year,First degree,Full-time,All,Male,2019/20,305
05 Veterinary sciences,First year,First degree,Full-time,All,Other,2019/20,0
05 Veterinary sciences,First year,First degree,Full-time,All,Total,2019/20,1980
05 Veterinary sciences,First year,First degree,Part-time,All,Female,2019/20,35
05 Veterinary sciences,First year,First degree,Part-time,All,Male,2019/20,0
05 Veterinary sciences,First year,First degree,Part-time,All,Other,2019/20,0
05 Veterinary sciences,First year,First degree,Part-time,All,Total,2019/20,35
05 Veterinary sciences,First year,First degree,All,England,Female,2019/20,1310
05 Veterinary sciences,First year,First degree,All,England,Male,2019/20,255
05 Veterinary sciences,First year,First degree,All,England,Other,2019/20,0
05 Veterinary sciences,First year,First degree,All,England,Total,2019/20,1565
05 Veterinary sciences,First year,First degree,Full-time,England,Female,2019/20,1295
05 Veterinary sciences,First year,First degree,Full-time,England,Male,2019/20,255
05 Veterinary sciences,First year,First degree,Full-time,England,Other,2019/20,0
05 Veterinary sciences,First year,First degree,Full-time,England,Total,2019/20,1550
05 Veterinary sciences,First year,First degree,Part-time,England,Female,2019/20,15
05 Veterinary sciences,First year,First degree,Part-time,England,Male,2019/20,0
05 Veterinary sciences,First year,First degree,Part-time,England,Other,2019/20,0
05 Veterinary sciences,First year,First degree,Part-time,England,Total,2019/20,15
05 Veterinary sciences,First year,First degree,All,Scotland,Female,2019/20,390
05 Veterinary sciences,First year,First degree,All,Scotland,Male,2019/20,50
05 Veterinary sciences,First year,First degree,All,Scotland,Other,2019/20,0
05 Veterinary sciences,First year,First degree,All,Scotland,Total,2019/20,440
05 Veterinary sciences,First year,First degree,Full-time,Scotland,Female,2019/20,370
05 Veterinary sciences,First year,First degree,Full-time,Scotland,Male,2019/20,50
05 Veterinary sciences,First year,First degree,Full-time,Scotland,Other,2019/20,0
05 Veterinary sciences,First year,First degree,Full-time,Scotland,Total,2019/20,415
05 Veterinary sciences,First year,First degree,Part-time,Scotland,Female,2019/20,20
05 Veterinary sciences,First year,First degree,Part-time,Scotland,Male,2019/20,0
05 Veterinary sciences,First year,First degree,Part-time,Scotland,Other,2019/20,0
05 Veterinary sciences,First year,First degree,Part-time,Scotland,Total,2019/20,20
05 Veterinary sciences,First year,First degree,All,Wales,Female,2019/20,15
05 Veterinary sciences,First year,First degree,All,Wales,Male,2019/20,0
05 Veterinary sciences,First year,First degree,All,Wales,Other,2019/20,0
05 Veterinary sciences,First year,First degree,All,Wales,Total,2019/20,15
05 Veterinary sciences,First year,First degree,Full-time,Wales,Female,2019/20,15
05 Veterinary sciences,First year,First degree,Full-time,Wales,Male,2019/20,0
05 Veterinary sciences,First year,First degree,Full-time,Wales,Other,2019/20,0
05 Veterinary sciences,First year,First degree,Full-time,Wales,Total,2019/20,15
05 Veterinary sciences,Other years,First degree,All,All,Female,2019/20,4860
05 Veterinary sciences,Other years,First degree,All,All,Male,2019/20,985
05 Veterinary sciences,Other years,First degree,All,All,Other,2019/20,5
05 Veterinary sciences,Other years,First degree,All,All,Total,2019/20,5850
05 Veterinary sciences,Other years,First degree,Full-time,All,Female,2019/20,4780
05 Veterinary sciences,Other years,First degree,Full-time,All,Male,2019/20,970
05 Veterinary sciences,Other years,First degree,Full-time,All,Other,2019/20,5
05 Veterinary sciences,Other years,First degree,Full-time,All,Total,2019/20,5755
05 Veterinary sciences,Other years,First degree,Part-time,All,Female,2019/20,85
05 Veterinary sciences,Other years,First degree,Part-time,All,Male,2019/20,10
05 Veterinary sciences,Other years,First degree,Part-time,All,Other,2019/20,0
05 Veterinary sciences,Other years,First degree,Part-time,All,Total,2019/20,95
05 Veterinary sciences,Other years,First degree,All,England,Female,2019/20,3655
05 Veterinary sciences,Other years,First degree,All,England,Male,2019/20,790
05 Veterinary sciences,Other years,First degree,All,England,Other,2019/20,5
05 Veterinary sciences,Other years,First degree,All,England,Total,2019/20,4450
05 Veterinary sciences,Other years,First degree,Full-time,England,Female,2019/20,3605
05 Veterinary sciences,Other years,First degree,Full-time,England,Male,2019/20,780
05 Veterinary sciences,Other years,First degree,Full-time,England,Other,2019/20,5
05 Veterinary sciences,Other years,First degree,Full-time,England,Total,2019/20,4385
05 Veterinary sciences,Other years,First degree,Part-time,England,Female,2019/20,55
05 Veterinary sciences,Other years,First degree,Part-time,England,Male,2019/20,10
05 Veterinary sciences,Other years,First degree,Part-time,England,Other,2019/20,0
05 Veterinary sciences,Other years,First degree,Part-time,England,Total,2019/20,60
05 Veterinary sciences,Other years,First degree,All,Scotland,Female,2019/20,1140
05 Veterinary sciences,Other years,First degree,All,Scotland,Male,2019/20,190
05 Veterinary sciences,Other years,First degree,All,Scotland,Other,2019/20,0
05 Veterinary sciences,Other years,First degree,All,Scotland,Total,2019/20,1330
05 Veterinary sciences,Other years,First degree,Full-time,Scotland,Female,2019/20,1110
05 Veterinary sciences,Other years,First degree,Full-time,Scotland,Male,2019/20,185
05 Veterinary sciences,Other years,First degree,Full-time,Scotland,Other,2019/20,0
05 Veterinary sciences,Other years,First degree,Full-time,Scotland,Total,2019/20,1295
05 Veterinary sciences,Other years,First degree,Part-time,Scotland,Female,2019/20,30
05 Veterinary sciences,Other years,First degree,Part-time,Scotland,Male,2019/20,0
05 Veterinary sciences,Other years,First degree,Part-time,Scotland,Other,2019/20,0
05 Veterinary sciences,Other years,First degree,Part-time,Scotland,Total,2019/20,30
05 Veterinary sciences,Other years,First degree,All,Wales,Female,2019/20,65
05 Veterinary sciences,Other years,First degree,All,Wales,Male,2019/20,5
05 Veterinary sciences,Other years,First degree,All,Wales,Other,2019/20,0
05 Veterinary sciences,Other years,First degree,All,Wales,Total,2019/20,70
05 Veterinary sciences,Other years,First degree,Full-time,Wales,Female,2019/20,65
05 Veterinary sciences,Other years,First degree,Full-time,Wales,Male,2019/20,5
05 Veterinary sciences,Other years,First degree,Full-time,Wales,Other,2019/20,0
05 Veterinary sciences,Other years,First degree,Full-time,Wales,Total,2019/20,70
05 Veterinary sciences,Other years,First degree,Part-time,Wales,Female,2019/20,0
05 Veterinary sciences,Other years,First degree,Part-time,Wales,Male,2019/20,0
05 Veterinary sciences,Other years,First degree,Part-time,Wales,Other,2019/20,0
05 Veterinary sciences,Other years,First degree,Part-time,Wales,Total,2019/20,0
05 Veterinary sciences,All,Other undergraduate,All,All,Female,2019/20,400
05 Veterinary sciences,All,Other undergraduate,All,All,Male,2019/20,20
05 Veterinary sciences,All,Other undergraduate,All,All,Other,2019/20,0
05 Veterinary sciences,All,Other undergraduate,All,All,Total,2019/20,420
05 Veterinary sciences,All,Other undergraduate,Full-time,All,Female,2019/20,380
05 Veterinary sciences,All,Other undergraduate,Full-time,All,Male,2019/20,20
05 Veterinary sciences,All,Other undergraduate,Full-time,All,Other,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Full-time,All,Total,2019/20,395
05 Veterinary sciences,All,Other undergraduate,Part-time,All,Female,2019/20,20
05 Veterinary sciences,All,Other undergraduate,Part-time,All,Male,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Part-time,All,Other,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Part-time,All,Total,2019/20,25
05 Veterinary sciences,All,Other undergraduate,All,England,Female,2019/20,340
05 Veterinary sciences,All,Other undergraduate,All,England,Male,2019/20,20
05 Veterinary sciences,All,Other undergraduate,All,England,Other,2019/20,0
05 Veterinary sciences,All,Other undergraduate,All,England,Total,2019/20,360
05 Veterinary sciences,All,Other undergraduate,Full-time,England,Female,2019/20,320
05 Veterinary sciences,All,Other undergraduate,Full-time,England,Male,2019/20,20
05 Veterinary sciences,All,Other undergraduate,Full-time,England,Other,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Full-time,England,Total,2019/20,340
05 Veterinary sciences,All,Other undergraduate,Part-time,England,Female,2019/20,20
05 Veterinary sciences,All,Other undergraduate,Part-time,England,Male,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Part-time,England,Other,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Part-time,England,Total,2019/20,20
05 Veterinary sciences,All,Other undergraduate,All,Scotland,Female,2019/20,5
05 Veterinary sciences,All,Other undergraduate,All,Scotland,Male,2019/20,0
05 Veterinary sciences,All,Other undergraduate,All,Scotland,Other,2019/20,0
05 Veterinary sciences,All,Other undergraduate,All,Scotland,Total,2019/20,5
05 Veterinary sciences,All,Other undergraduate,Full-time,Scotland,Female,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Full-time,Scotland,Male,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Full-time,Scotland,Other,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Full-time,Scotland,Total,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Part-time,Scotland,Female,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Part-time,Scotland,Male,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Part-time,Scotland,Other,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Part-time,Scotland,Total,2019/20,0
05 Veterinary sciences,All,Other undergraduate,All,Wales,Female,2019/20,55
05 Veterinary sciences,All,Other undergraduate,All,Wales,Male,2019/20,0
05 Veterinary sciences,All,Other undergraduate,All,Wales,Other,2019/20,0
05 Veterinary sciences,All,Other undergraduate,All,Wales,Total,2019/20,55
05 Veterinary sciences,All,Other undergraduate,Full-time,Wales,Female,2019/20,55
05 Veterinary sciences,All,Other undergraduate,Full-time,Wales,Male,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Full-time,Wales,Other,2019/20,0
05 Veterinary sciences,All,Other undergraduate,Full-time,Wales,Total,2019/20,55
05 Veterinary sciences,First year,Other undergraduate,All,All,Female,2019/20,120
05 Veterinary sciences,First year,Other undergraduate,All,All,Male,2019/20,5
05 Veterinary sciences,First year,Other undergraduate,All,All,Other,2019/20,0
05 Veterinary sciences,First year,Other undergraduate,All,All,Total,2019/20,125
05 Veterinary sciences,First year,Other undergraduate,Full-time,All,Female,2019/20,120
05 Veterinary sciences,First year,Other undergraduate,Full-time,All,Male,2019/20,5
05 Veterinary sciences,First year,Other undergraduate,Full-time,All,Other,2019/20,0
05 Veterinary sciences,First year,Other undergraduate,Full-time,All,Total,2019/20,125
05 Veterinary sciences,First year,Other undergraduate,Part-time,All,Female,2019/20,5
05 Veterinary sciences,First year,Other undergraduate,Part-time,All,Male,2019/20,0
05 Veterinary sciences,First year,Other undergraduate,Part-time,All,Other,2019/20,0
05 Veterinary sciences,First year,Other undergraduate,Part-time,All,Total,2019/20,5
05 Veterinary sciences,First year,Other undergraduate,All,England,Female,2019/20,105
05 Veterinary sciences,First year,Other undergraduate,All,England,Male,2019/20,5
05 Veterinary sciences,First year,Other undergraduate,All,England,Other,2019/20,0
05 Veterinary sciences,First year,Other undergraduate,All,England,Total,2019/20,110
05 Veterinary sciences,First year,Other undergraduate,Full-time,England,Female,2019/20,100
05 Veterinary sciences,First year,Other undergraduate,Full-time,England,Male,2019/20,5
05 Veterinary sciences,First year,Other undergraduate,Full-time,England,Other,2019/20,0
