,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
294,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Sex,Female,8855
295,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Sex,Male,6315
296,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Sex,Other,20
297,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Domicile,England,1525
298,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Domicile,Scotland,8285
299,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Domicile,Wales,50
300,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Domicile,Northern Ireland,170
301,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Domicile,Other UK,5
302,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Domicile,Total UK  ,10040
303,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Domicile,Other European Union,2600
304,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Domicile,Non-European Union,2545
305,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Domicile,Total Non-UK,5150
306,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Domicile,Not known,0
307,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2019/20,Total,Total,15185
308,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Sex,Female,7290
309,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Sex,Male,5405
310,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Sex,Other,20
311,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Domicile,England,1115
312,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Domicile,Scotland,6390
313,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Domicile,Wales,30
314,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Domicile,Northern Ireland,150
315,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Domicile,Other UK,5
316,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Domicile,Total UK  ,7690
317,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Domicile,Other European Union,2570
318,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Domicile,Non-European Union,2460
319,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Domicile,Total Non-UK,5025
320,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Domicile,Not known,0
321,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2019/20,Total,Total,12715
