,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
294,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Sex,Female,8640
295,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Sex,Male,6135
296,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Sex,Other,0
297,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Domicile,England,1435
298,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Domicile,Scotland,7880
299,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Domicile,Wales,45
300,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Domicile,Northern Ireland,170
301,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Domicile,Other UK,10
302,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Domicile,Total UK  ,9545
303,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Domicile,Other European Union,2900
304,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Domicile,Non-European Union,2335
305,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Domicile,Total Non-UK,5235
306,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Domicile,Not known,0
307,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Total,Total,14775
308,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2018/19,Sex,Female,7315
309,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2018/19,Sex,Male,5435
310,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2018/19,Sex,Other,0
311,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2018/19,Domicile,England,1140
312,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2018/19,Domicile,Scotland,6315
313,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2018/19,Domicile,Wales,40
314,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2018/19,Domicile,Northern Ireland,155
