Title,"HE qualifications obtained by CAH level 1 subject, sex, level of qualification, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2019/20,,,,,
Data source,HESA,,,,,
Data collection,"051,054",,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2019/20 total,800335,,,,,
,,,,,,
Last updated,Jan-21,,,,,
,,,,,,
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
03 Biological and sport sciences,All,All,All,Male,2019/20,17440
03 Biological and sport sciences,All,All,All,Other,2019/20,25
03 Biological and sport sciences,All,All,All,Total,2019/20,34210
03 Biological and sport sciences,All,Full-time,All,Female,2019/20,15680
03 Biological and sport sciences,All,Full-time,All,Male,2019/20,16020
03 Biological and sport sciences,All,Full-time,All,Other,2019/20,25
03 Biological and sport sciences,All,Full-time,All,Total,2019/20,31725
03 Biological and sport sciences,All,Part-time,All,Female,2019/20,1065
03 Biological and sport sciences,All,Part-time,All,Male,2019/20,1420
03 Biological and sport sciences,All,Part-time,All,Other,2019/20,5
03 Biological and sport sciences,All,Part-time,All,Total,2019/20,2485
03 Biological and sport sciences,All,All,England,Female,2019/20,13085
03 Biological and sport sciences,All,All,England,Male,2019/20,13710
03 Biological and sport sciences,All,All,England,Other,2019/20,20
03 Biological and sport sciences,All,All,England,Total,2019/20,26810
03 Biological and sport sciences,All,Full-time,England,Female,2019/20,12175
03 Biological and sport sciences,All,Full-time,England,Male,2019/20,12485
03 Biological and sport sciences,All,Full-time,England,Other,2019/20,15
03 Biological and sport sciences,All,Full-time,England,Total,2019/20,24675
03 Biological and sport sciences,All,Part-time,England,Female,2019/20,910
03 Biological and sport sciences,All,Part-time,England,Male,2019/20,1225
03 Biological and sport sciences,All,Part-time,England,Other,2019/20,5
03 Biological and sport sciences,All,Part-time,England,Total,2019/20,2135
03 Biological and sport sciences,All,All,Northern Ireland,Female,2019/20,285
03 Biological and sport sciences,All,All,Northern Ireland,Male,2019/20,315
03 Biological and sport sciences,All,All,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,All,All,Northern Ireland,Total,2019/20,600
03 Biological and sport sciences,All,Full-time,Northern Ireland,Female,2019/20,260
03 Biological and sport sciences,All,Full-time,Northern Ireland,Male,2019/20,260
03 Biological and sport sciences,All,Full-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,All,Full-time,Northern Ireland,Total,2019/20,520
03 Biological and sport sciences,All,Part-time,Northern Ireland,Female,2019/20,30
03 Biological and sport sciences,All,Part-time,Northern Ireland,Male,2019/20,55
03 Biological and sport sciences,All,Part-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,All,Part-time,Northern Ireland,Total,2019/20,85
03 Biological and sport sciences,All,All,Scotland,Female,2019/20,2015
03 Biological and sport sciences,All,All,Scotland,Male,2019/20,1560
03 Biological and sport sciences,All,All,Scotland,Other,2019/20,5
03 Biological and sport sciences,All,All,Scotland,Total,2019/20,3580
03 Biological and sport sciences,All,Full-time,Scotland,Female,2019/20,1930
03 Biological and sport sciences,All,Full-time,Scotland,Male,2019/20,1475
03 Biological and sport sciences,All,Full-time,Scotland,Other,2019/20,5
03 Biological and sport sciences,All,Full-time,Scotland,Total,2019/20,3405
03 Biological and sport sciences,All,Part-time,Scotland,Female,2019/20,85
03 Biological and sport sciences,All,Part-time,Scotland,Male,2019/20,85
03 Biological and sport sciences,All,Part-time,Scotland,Other,2019/20,0
03 Biological and sport sciences,All,Part-time,Scotland,Total,2019/20,175
03 Biological and sport sciences,All,All,Wales,Female,2019/20,1360
03 Biological and sport sciences,All,All,Wales,Male,2019/20,1860
03 Biological and sport sciences,All,All,Wales,Other,2019/20,0
03 Biological and sport sciences,All,All,Wales,Total,2019/20,3220
03 Biological and sport sciences,All,Full-time,Wales,Female,2019/20,1320
03 Biological and sport sciences,All,Full-time,Wales,Male,2019/20,1805
03 Biological and sport sciences,All,Full-time,Wales,Other,2019/20,0
03 Biological and sport sciences,All,Full-time,Wales,Total,2019/20,3125
03 Biological and sport sciences,All,Part-time,Wales,Female,2019/20,40
03 Biological and sport sciences,All,Part-time,Wales,Male,2019/20,55
03 Biological and sport sciences,All,Part-time,Wales,Other,2019/20,0
03 Biological and sport sciences,All,Part-time,Wales,Total,2019/20,95
03 Biological and sport sciences,Postgraduate (research),All,All,Female,2019/20,1545
03 Biological and sport sciences,Postgraduate (research),All,All,Male,2019/20,1430
03 Biological and sport sciences,Postgraduate (research),All,All,Other,2019/20,5
03 Biological and sport sciences,Postgraduate (research),All,All,Total,2019/20,2975
03 Biological and sport sciences,Postgraduate (research),Full-time,All,Female,2019/20,1420
03 Biological and sport sciences,Postgraduate (research),Full-time,All,Male,2019/20,1275
03 Biological and sport sciences,Postgraduate (research),Full-time,All,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),Full-time,All,Total,2019/20,2700
03 Biological and sport sciences,Postgraduate (research),Part-time,All,Female,2019/20,125
03 Biological and sport sciences,Postgraduate (research),Part-time,All,Male,2019/20,150
03 Biological and sport sciences,Postgraduate (research),Part-time,All,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),Part-time,All,Total,2019/20,275
03 Biological and sport sciences,Postgraduate (research),All,England,Female,2019/20,1255
03 Biological and sport sciences,Postgraduate (research),All,England,Male,2019/20,1135
03 Biological and sport sciences,Postgraduate (research),All,England,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),All,England,Total,2019/20,2390
03 Biological and sport sciences,Postgraduate (research),Full-time,England,Female,2019/20,1155
03 Biological and sport sciences,Postgraduate (research),Full-time,England,Male,2019/20,1010
03 Biological and sport sciences,Postgraduate (research),Full-time,England,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),Full-time,England,Total,2019/20,2165
03 Biological and sport sciences,Postgraduate (research),Part-time,England,Female,2019/20,100
03 Biological and sport sciences,Postgraduate (research),Part-time,England,Male,2019/20,125
03 Biological and sport sciences,Postgraduate (research),Part-time,England,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),Part-time,England,Total,2019/20,225
03 Biological and sport sciences,Postgraduate (research),All,Northern Ireland,Female,2019/20,15
03 Biological and sport sciences,Postgraduate (research),All,Northern Ireland,Male,2019/20,15
03 Biological and sport sciences,Postgraduate (research),All,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),All,Northern Ireland,Total,2019/20,30
03 Biological and sport sciences,Postgraduate (research),Full-time,Northern Ireland,Female,2019/20,10
03 Biological and sport sciences,Postgraduate (research),Full-time,Northern Ireland,Male,2019/20,10
03 Biological and sport sciences,Postgraduate (research),Full-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),Full-time,Northern Ireland,Total,2019/20,20
03 Biological and sport sciences,Postgraduate (research),Part-time,Northern Ireland,Female,2019/20,5
03 Biological and sport sciences,Postgraduate (research),Part-time,Northern Ireland,Male,2019/20,5
03 Biological and sport sciences,Postgraduate (research),Part-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),Part-time,Northern Ireland,Total,2019/20,10
03 Biological and sport sciences,Postgraduate (research),All,Scotland,Female,2019/20,205
03 Biological and sport sciences,Postgraduate (research),All,Scotland,Male,2019/20,195
03 Biological and sport sciences,Postgraduate (research),All,Scotland,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),All,Scotland,Total,2019/20,400
03 Biological and sport sciences,Postgraduate (research),Full-time,Scotland,Female,2019/20,195
03 Biological and sport sciences,Postgraduate (research),Full-time,Scotland,Male,2019/20,185
03 Biological and sport sciences,Postgraduate (research),Full-time,Scotland,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),Full-time,Scotland,Total,2019/20,380
03 Biological and sport sciences,Postgraduate (research),Part-time,Scotland,Female,2019/20,10
03 Biological and sport sciences,Postgraduate (research),Part-time,Scotland,Male,2019/20,10
03 Biological and sport sciences,Postgraduate (research),Part-time,Scotland,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),Part-time,Scotland,Total,2019/20,20
03 Biological and sport sciences,Postgraduate (research),All,Wales,Female,2019/20,70
03 Biological and sport sciences,Postgraduate (research),All,Wales,Male,2019/20,80
03 Biological and sport sciences,Postgraduate (research),All,Wales,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),All,Wales,Total,2019/20,150
03 Biological and sport sciences,Postgraduate (research),Full-time,Wales,Female,2019/20,65
03 Biological and sport sciences,Postgraduate (research),Full-time,Wales,Male,2019/20,70
03 Biological and sport sciences,Postgraduate (research),Full-time,Wales,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),Full-time,Wales,Total,2019/20,135
03 Biological and sport sciences,Postgraduate (research),Part-time,Wales,Female,2019/20,5
03 Biological and sport sciences,Postgraduate (research),Part-time,Wales,Male,2019/20,10
03 Biological and sport sciences,Postgraduate (research),Part-time,Wales,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (research),Part-time,Wales,Total,2019/20,20
03 Biological and sport sciences,Postgraduate (taught),All,All,Female,2019/20,2845
03 Biological and sport sciences,Postgraduate (taught),All,All,Male,2019/20,2595
03 Biological and sport sciences,Postgraduate (taught),All,All,Other,2019/20,5
03 Biological and sport sciences,Postgraduate (taught),All,All,Total,2019/20,5445
03 Biological and sport sciences,Postgraduate (taught),Full-time,All,Female,2019/20,2290
03 Biological and sport sciences,Postgraduate (taught),Full-time,All,Male,2019/20,1955
03 Biological and sport sciences,Postgraduate (taught),Full-time,All,Other,2019/20,5
03 Biological and sport sciences,Postgraduate (taught),Full-time,All,Total,2019/20,4255
03 Biological and sport sciences,Postgraduate (taught),Part-time,All,Female,2019/20,550
03 Biological and sport sciences,Postgraduate (taught),Part-time,All,Male,2019/20,640
03 Biological and sport sciences,Postgraduate (taught),Part-time,All,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (taught),Part-time,All,Total,2019/20,1190
03 Biological and sport sciences,Postgraduate (taught),All,England,Female,2019/20,2155
03 Biological and sport sciences,Postgraduate (taught),All,England,Male,2019/20,1940
03 Biological and sport sciences,Postgraduate (taught),All,England,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (taught),All,England,Total,2019/20,4100
03 Biological and sport sciences,Postgraduate (taught),Full-time,England,Female,2019/20,1690
03 Biological and sport sciences,Postgraduate (taught),Full-time,England,Male,2019/20,1390
03 Biological and sport sciences,Postgraduate (taught),Full-time,England,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (taught),Full-time,England,Total,2019/20,3080
03 Biological and sport sciences,Postgraduate (taught),Part-time,England,Female,2019/20,465
03 Biological and sport sciences,Postgraduate (taught),Part-time,England,Male,2019/20,550
03 Biological and sport sciences,Postgraduate (taught),Part-time,England,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (taught),Part-time,England,Total,2019/20,1020
03 Biological and sport sciences,Postgraduate (taught),All,Northern Ireland,Female,2019/20,110
03 Biological and sport sciences,Postgraduate (taught),All,Northern Ireland,Male,2019/20,100
03 Biological and sport sciences,Postgraduate (taught),All,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (taught),All,Northern Ireland,Total,2019/20,205
03 Biological and sport sciences,Postgraduate (taught),Full-time,Northern Ireland,Female,2019/20,90
03 Biological and sport sciences,Postgraduate (taught),Full-time,Northern Ireland,Male,2019/20,70
03 Biological and sport sciences,Postgraduate (taught),Full-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (taught),Full-time,Northern Ireland,Total,2019/20,160
03 Biological and sport sciences,Postgraduate (taught),Part-time,Northern Ireland,Female,2019/20,15
03 Biological and sport sciences,Postgraduate (taught),Part-time,Northern Ireland,Male,2019/20,30
03 Biological and sport sciences,Postgraduate (taught),Part-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (taught),Part-time,Northern Ireland,Total,2019/20,45
03 Biological and sport sciences,Postgraduate (taught),All,Scotland,Female,2019/20,420
03 Biological and sport sciences,Postgraduate (taught),All,Scotland,Male,2019/20,310
03 Biological and sport sciences,Postgraduate (taught),All,Scotland,Other,2019/20,5
03 Biological and sport sciences,Postgraduate (taught),All,Scotland,Total,2019/20,735
03 Biological and sport sciences,Postgraduate (taught),Full-time,Scotland,Female,2019/20,370
03 Biological and sport sciences,Postgraduate (taught),Full-time,Scotland,Male,2019/20,280
03 Biological and sport sciences,Postgraduate (taught),Full-time,Scotland,Other,2019/20,5
03 Biological and sport sciences,Postgraduate (taught),Full-time,Scotland,Total,2019/20,655
03 Biological and sport sciences,Postgraduate (taught),Part-time,Scotland,Female,2019/20,50
03 Biological and sport sciences,Postgraduate (taught),Part-time,Scotland,Male,2019/20,35
03 Biological and sport sciences,Postgraduate (taught),Part-time,Scotland,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (taught),Part-time,Scotland,Total,2019/20,80
03 Biological and sport sciences,Postgraduate (taught),All,Wales,Female,2019/20,160
03 Biological and sport sciences,Postgraduate (taught),All,Wales,Male,2019/20,245
03 Biological and sport sciences,Postgraduate (taught),All,Wales,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (taught),All,Wales,Total,2019/20,410
03 Biological and sport sciences,Postgraduate (taught),Full-time,Wales,Female,2019/20,140
03 Biological and sport sciences,Postgraduate (taught),Full-time,Wales,Male,2019/20,220
03 Biological and sport sciences,Postgraduate (taught),Full-time,Wales,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (taught),Full-time,Wales,Total,2019/20,365
03 Biological and sport sciences,Postgraduate (taught),Part-time,Wales,Female,2019/20,20
03 Biological and sport sciences,Postgraduate (taught),Part-time,Wales,Male,2019/20,25
03 Biological and sport sciences,Postgraduate (taught),Part-time,Wales,Other,2019/20,0
03 Biological and sport sciences,Postgraduate (taught),Part-time,Wales,Total,2019/20,45
03 Biological and sport sciences,All postgraduate,All,All,Female,2019/20,4385
03 Biological and sport sciences,All postgraduate,All,All,Male,2019/20,4025
03 Biological and sport sciences,All postgraduate,All,All,Other,2019/20,10
03 Biological and sport sciences,All postgraduate,All,All,Total,2019/20,8420
03 Biological and sport sciences,All postgraduate,Full-time,All,Female,2019/20,3710
03 Biological and sport sciences,All postgraduate,Full-time,All,Male,2019/20,3235
03 Biological and sport sciences,All postgraduate,Full-time,All,Other,2019/20,5
03 Biological and sport sciences,All postgraduate,Full-time,All,Total,2019/20,6950
03 Biological and sport sciences,All postgraduate,Part-time,All,Female,2019/20,675
03 Biological and sport sciences,All postgraduate,Part-time,All,Male,2019/20,790
03 Biological and sport sciences,All postgraduate,Part-time,All,Other,2019/20,5
03 Biological and sport sciences,All postgraduate,Part-time,All,Total,2019/20,1470
03 Biological and sport sciences,All postgraduate,All,England,Female,2019/20,3410
03 Biological and sport sciences,All postgraduate,All,England,Male,2019/20,3075
03 Biological and sport sciences,All postgraduate,All,England,Other,2019/20,5
03 Biological and sport sciences,All postgraduate,All,England,Total,2019/20,6490
03 Biological and sport sciences,All postgraduate,Full-time,England,Female,2019/20,2840
03 Biological and sport sciences,All postgraduate,Full-time,England,Male,2019/20,2400
03 Biological and sport sciences,All postgraduate,Full-time,England,Other,2019/20,0
03 Biological and sport sciences,All postgraduate,Full-time,England,Total,2019/20,5245
03 Biological and sport sciences,All postgraduate,Part-time,England,Female,2019/20,565
03 Biological and sport sciences,All postgraduate,Part-time,England,Male,2019/20,675
03 Biological and sport sciences,All postgraduate,Part-time,England,Other,2019/20,5
03 Biological and sport sciences,All postgraduate,Part-time,England,Total,2019/20,1245
03 Biological and sport sciences,All postgraduate,All,Northern Ireland,Female,2019/20,120
03 Biological and sport sciences,All postgraduate,All,Northern Ireland,Male,2019/20,115
03 Biological and sport sciences,All postgraduate,All,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,All postgraduate,All,Northern Ireland,Total,2019/20,235
03 Biological and sport sciences,All postgraduate,Full-time,Northern Ireland,Female,2019/20,100
03 Biological and sport sciences,All postgraduate,Full-time,Northern Ireland,Male,2019/20,80
03 Biological and sport sciences,All postgraduate,Full-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,All postgraduate,Full-time,Northern Ireland,Total,2019/20,180
03 Biological and sport sciences,All postgraduate,Part-time,Northern Ireland,Female,2019/20,20
03 Biological and sport sciences,All postgraduate,Part-time,Northern Ireland,Male,2019/20,35
03 Biological and sport sciences,All postgraduate,Part-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,All postgraduate,Part-time,Northern Ireland,Total,2019/20,60
03 Biological and sport sciences,All postgraduate,All,Scotland,Female,2019/20,625
03 Biological and sport sciences,All postgraduate,All,Scotland,Male,2019/20,505
03 Biological and sport sciences,All postgraduate,All,Scotland,Other,2019/20,5
03 Biological and sport sciences,All postgraduate,All,Scotland,Total,2019/20,1135
03 Biological and sport sciences,All postgraduate,Full-time,Scotland,Female,2019/20,565
03 Biological and sport sciences,All postgraduate,Full-time,Scotland,Male,2019/20,465
03 Biological and sport sciences,All postgraduate,Full-time,Scotland,Other,2019/20,5
03 Biological and sport sciences,All postgraduate,Full-time,Scotland,Total,2019/20,1035
03 Biological and sport sciences,All postgraduate,Part-time,Scotland,Female,2019/20,60
03 Biological and sport sciences,All postgraduate,Part-time,Scotland,Male,2019/20,40
03 Biological and sport sciences,All postgraduate,Part-time,Scotland,Other,2019/20,0
03 Biological and sport sciences,All postgraduate,Part-time,Scotland,Total,2019/20,105
03 Biological and sport sciences,All postgraduate,All,Wales,Female,2019/20,235
03 Biological and sport sciences,All postgraduate,All,Wales,Male,2019/20,325
03 Biological and sport sciences,All postgraduate,All,Wales,Other,2019/20,0
03 Biological and sport sciences,All postgraduate,All,Wales,Total,2019/20,560
03 Biological and sport sciences,All postgraduate,Full-time,Wales,Female,2019/20,205
03 Biological and sport sciences,All postgraduate,Full-time,Wales,Male,2019/20,290
03 Biological and sport sciences,All postgraduate,Full-time,Wales,Other,2019/20,0
03 Biological and sport sciences,All postgraduate,Full-time,Wales,Total,2019/20,495
03 Biological and sport sciences,All postgraduate,Part-time,Wales,Female,2019/20,30
03 Biological and sport sciences,All postgraduate,Part-time,Wales,Male,2019/20,35
03 Biological and sport sciences,All postgraduate,Part-time,Wales,Other,2019/20,0
03 Biological and sport sciences,All postgraduate,Part-time,Wales,Total,2019/20,65
03 Biological and sport sciences,First degree,All,All,Female,2019/20,11445
03 Biological and sport sciences,First degree,All,All,Male,2019/20,11695
03 Biological and sport sciences,First degree,All,All,Other,2019/20,15
03 Biological and sport sciences,First degree,All,All,Total,2019/20,23160
03 Biological and sport sciences,First degree,Full-time,All,Female,2019/20,11180
03 Biological and sport sciences,First degree,Full-time,All,Male,2019/20,11265
03 Biological and sport sciences,First degree,Full-time,All,Other,2019/20,15
03 Biological and sport sciences,First degree,Full-time,All,Total,2019/20,22460
03 Biological and sport sciences,First degree,Part-time,All,Female,2019/20,270
03 Biological and sport sciences,First degree,Part-time,All,Male,2019/20,430
03 Biological and sport sciences,First degree,Part-time,All,Other,2019/20,0
03 Biological and sport sciences,First degree,Part-time,All,Total,2019/20,700
03 Biological and sport sciences,First degree,All,England,Female,2019/20,9030
03 Biological and sport sciences,First degree,All,England,Male,2019/20,9360
03 Biological and sport sciences,First degree,All,England,Other,2019/20,15
03 Biological and sport sciences,First degree,All,England,Total,2019/20,18400
03 Biological and sport sciences,First degree,Full-time,England,Female,2019/20,8795
03 Biological and sport sciences,First degree,Full-time,England,Male,2019/20,8980
03 Biological and sport sciences,First degree,Full-time,England,Other,2019/20,15
03 Biological and sport sciences,First degree,Full-time,England,Total,2019/20,17790
03 Biological and sport sciences,First degree,Part-time,England,Female,2019/20,235
03 Biological and sport sciences,First degree,Part-time,England,Male,2019/20,375
03 Biological and sport sciences,First degree,Part-time,England,Other,2019/20,0
03 Biological and sport sciences,First degree,Part-time,England,Total,2019/20,610
03 Biological and sport sciences,First degree,All,Northern Ireland,Female,2019/20,165
03 Biological and sport sciences,First degree,All,Northern Ireland,Male,2019/20,195
03 Biological and sport sciences,First degree,All,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,First degree,All,Northern Ireland,Total,2019/20,360
03 Biological and sport sciences,First degree,Full-time,Northern Ireland,Female,2019/20,160
03 Biological and sport sciences,First degree,Full-time,Northern Ireland,Male,2019/20,180
03 Biological and sport sciences,First degree,Full-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,First degree,Full-time,Northern Ireland,Total,2019/20,335
03 Biological and sport sciences,First degree,Part-time,Northern Ireland,Female,2019/20,5
03 Biological and sport sciences,First degree,Part-time,Northern Ireland,Male,2019/20,15
03 Biological and sport sciences,First degree,Part-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,First degree,Part-time,Northern Ireland,Total,2019/20,25
03 Biological and sport sciences,First degree,All,Scotland,Female,2019/20,1235
03 Biological and sport sciences,First degree,All,Scotland,Male,2019/20,895
03 Biological and sport sciences,First degree,All,Scotland,Other,2019/20,0
03 Biological and sport sciences,First degree,All,Scotland,Total,2019/20,2130
03 Biological and sport sciences,First degree,Full-time,Scotland,Female,2019/20,1215
03 Biological and sport sciences,First degree,Full-time,Scotland,Male,2019/20,875
03 Biological and sport sciences,First degree,Full-time,Scotland,Other,2019/20,0
03 Biological and sport sciences,First degree,Full-time,Scotland,Total,2019/20,2090
03 Biological and sport sciences,First degree,Part-time,Scotland,Female,2019/20,20
03 Biological and sport sciences,First degree,Part-time,Scotland,Male,2019/20,20
03 Biological and sport sciences,First degree,Part-time,Scotland,Other,2019/20,0
03 Biological and sport sciences,First degree,Part-time,Scotland,Total,2019/20,40
03 Biological and sport sciences,First degree,All,Wales,Female,2019/20,1020
03 Biological and sport sciences,First degree,All,Wales,Male,2019/20,1250
03 Biological and sport sciences,First degree,All,Wales,Other,2019/20,0
03 Biological and sport sciences,First degree,All,Wales,Total,2019/20,2270
03 Biological and sport sciences,First degree,Full-time,Wales,Female,2019/20,1010
03 Biological and sport sciences,First degree,Full-time,Wales,Male,2019/20,1230
03 Biological and sport sciences,First degree,Full-time,Wales,Other,2019/20,0
03 Biological and sport sciences,First degree,Full-time,Wales,Total,2019/20,2245
03 Biological and sport sciences,First degree,Part-time,Wales,Female,2019/20,10
03 Biological and sport sciences,First degree,Part-time,Wales,Male,2019/20,15
03 Biological and sport sciences,First degree,Part-time,Wales,Other,2019/20,0
03 Biological and sport sciences,First degree,Part-time,Wales,Total,2019/20,25
03 Biological and sport sciences,Other undergraduate,All,All,Female,2019/20,910
03 Biological and sport sciences,Other undergraduate,All,All,Male,2019/20,1720
03 Biological and sport sciences,Other undergraduate,All,All,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,All,All,Total,2019/20,2630
03 Biological and sport sciences,Other undergraduate,Full-time,All,Female,2019/20,790
03 Biological and sport sciences,Other undergraduate,Full-time,All,Male,2019/20,1520
03 Biological and sport sciences,Other undergraduate,Full-time,All,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,Full-time,All,Total,2019/20,2315
03 Biological and sport sciences,Other undergraduate,Part-time,All,Female,2019/20,120
03 Biological and sport sciences,Other undergraduate,Part-time,All,Male,2019/20,200
03 Biological and sport sciences,Other undergraduate,Part-time,All,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,Part-time,All,Total,2019/20,315
03 Biological and sport sciences,Other undergraduate,All,England,Female,2019/20,650
03 Biological and sport sciences,Other undergraduate,All,England,Male,2019/20,1270
03 Biological and sport sciences,Other undergraduate,All,England,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,All,England,Total,2019/20,1920
03 Biological and sport sciences,Other undergraduate,Full-time,England,Female,2019/20,540
03 Biological and sport sciences,Other undergraduate,Full-time,England,Male,2019/20,1100
03 Biological and sport sciences,Other undergraduate,Full-time,England,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,Full-time,England,Total,2019/20,1640
03 Biological and sport sciences,Other undergraduate,Part-time,England,Female,2019/20,110
03 Biological and sport sciences,Other undergraduate,Part-time,England,Male,2019/20,170
03 Biological and sport sciences,Other undergraduate,Part-time,England,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,Part-time,England,Total,2019/20,280
03 Biological and sport sciences,Other undergraduate,All,Northern Ireland,Female,2019/20,0
03 Biological and sport sciences,Other undergraduate,All,Northern Ireland,Male,2019/20,5
03 Biological and sport sciences,Other undergraduate,All,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,All,Northern Ireland,Total,2019/20,5
03 Biological and sport sciences,Other undergraduate,Full-time,Northern Ireland,Female,2019/20,0
03 Biological and sport sciences,Other undergraduate,Full-time,Northern Ireland,Male,2019/20,5
03 Biological and sport sciences,Other undergraduate,Full-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,Full-time,Northern Ireland,Total,2019/20,5
03 Biological and sport sciences,Other undergraduate,Part-time,Northern Ireland,Female,2019/20,0
03 Biological and sport sciences,Other undergraduate,Part-time,Northern Ireland,Male,2019/20,0
03 Biological and sport sciences,Other undergraduate,Part-time,Northern Ireland,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,Part-time,Northern Ireland,Total,2019/20,0
03 Biological and sport sciences,Other undergraduate,All,Scotland,Female,2019/20,155
03 Biological and sport sciences,Other undergraduate,All,Scotland,Male,2019/20,160
03 Biological and sport sciences,Other undergraduate,All,Scotland,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,All,Scotland,Total,2019/20,315
03 Biological and sport sciences,Other undergraduate,Full-time,Scotland,Female,2019/20,150
03 Biological and sport sciences,Other undergraduate,Full-time,Scotland,Male,2019/20,135
03 Biological and sport sciences,Other undergraduate,Full-time,Scotland,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,Full-time,Scotland,Total,2019/20,285
03 Biological and sport sciences,Other undergraduate,Part-time,Scotland,Female,2019/20,5
03 Biological and sport sciences,Other undergraduate,Part-time,Scotland,Male,2019/20,25
03 Biological and sport sciences,Other undergraduate,Part-time,Scotland,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,Part-time,Scotland,Total,2019/20,30
03 Biological and sport sciences,Other undergraduate,All,Wales,Female,2019/20,110
03 Biological and sport sciences,Other undergraduate,All,Wales,Male,2019/20,285
03 Biological and sport sciences,Other undergraduate,All,Wales,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,All,Wales,Total,2019/20,390
03 Biological and sport sciences,Other undergraduate,Full-time,Wales,Female,2019/20,105
03 Biological and sport sciences,Other undergraduate,Full-time,Wales,Male,2019/20,280
03 Biological and sport sciences,Other undergraduate,Full-time,Wales,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,Full-time,Wales,Total,2019/20,385
03 Biological and sport sciences,Other undergraduate,Part-time,Wales,Female,2019/20,5
03 Biological and sport sciences,Other undergraduate,Part-time,Wales,Male,2019/20,5
03 Biological and sport sciences,Other undergraduate,Part-time,Wales,Other,2019/20,0
03 Biological and sport sciences,Other undergraduate,Part-time,Wales,Total,2019/20,5
03 Biological and sport sciences,All undergraduate,All,All,Female,2019/20,12360
03 Biological and sport sciences,All undergraduate,All,All,Male,2019/20,13415
03 Biological and sport sciences,All undergraduate,All,All,Other,2019/20,15
03 Biological and sport sciences,All undergraduate,All,All,Total,2019/20,25790
03 Biological and sport sciences,All undergraduate,Full-time,All,Female,2019/20,11970
03 Biological and sport sciences,All undergraduate,Full-time,All,Male,2019/20,12785
03 Biological and sport sciences,All undergraduate,Full-time,All,Other,2019/20,15
