Title,"HE qualifications obtained by CAH level 1 subject, sex, level of qualification, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2019/20,,,,,
Data source,HESA,,,,,
Data collection,"051,054",,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2019/20 total,800335,,,,,
,,,,,,
Last updated,Jan-21,,,,,
,,,,,,
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,Postgraduate (research),All,England,Female,2019/20,1150
01 Medicine and dentistry,Postgraduate (research),All,England,Male,2019/20,855
01 Medicine and dentistry,Postgraduate (research),All,England,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),All,England,Total,2019/20,2005
01 Medicine and dentistry,Postgraduate (research),Full-time,England,Female,2019/20,940
01 Medicine and dentistry,Postgraduate (research),Full-time,England,Male,2019/20,685
01 Medicine and dentistry,Postgraduate (research),Full-time,England,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Full-time,England,Total,2019/20,1630
01 Medicine and dentistry,Postgraduate (research),Part-time,England,Female,2019/20,210
01 Medicine and dentistry,Postgraduate (research),Part-time,England,Male,2019/20,170
01 Medicine and dentistry,Postgraduate (research),Part-time,England,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Part-time,England,Total,2019/20,380
01 Medicine and dentistry,Postgraduate (research),All,Northern Ireland,Female,2019/20,35
01 Medicine and dentistry,Postgraduate (research),All,Northern Ireland,Male,2019/20,30
01 Medicine and dentistry,Postgraduate (research),All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),All,Northern Ireland,Total,2019/20,60
01 Medicine and dentistry,Postgraduate (research),Full-time,Northern Ireland,Female,2019/20,30
01 Medicine and dentistry,Postgraduate (research),Full-time,Northern Ireland,Male,2019/20,25
01 Medicine and dentistry,Postgraduate (research),Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Full-time,Northern Ireland,Total,2019/20,55
01 Medicine and dentistry,Postgraduate (research),Part-time,Northern Ireland,Female,2019/20,5
01 Medicine and dentistry,Postgraduate (research),Part-time,Northern Ireland,Male,2019/20,5
01 Medicine and dentistry,Postgraduate (research),Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Part-time,Northern Ireland,Total,2019/20,10
01 Medicine and dentistry,Postgraduate (research),All,Scotland,Female,2019/20,150
01 Medicine and dentistry,Postgraduate (research),All,Scotland,Male,2019/20,115
01 Medicine and dentistry,Postgraduate (research),All,Scotland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),All,Scotland,Total,2019/20,265
01 Medicine and dentistry,Postgraduate (research),Full-time,Scotland,Female,2019/20,125
01 Medicine and dentistry,Postgraduate (research),Full-time,Scotland,Male,2019/20,95
