,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
395,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,England,445
396,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Scotland,2025
397,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Wales,10
398,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Northern Ireland,55
399,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Other UK,0
400,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Total UK  ,2535
401,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Other European Union,930
402,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Non-European Union,1015
403,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Total Non-UK,1945
404,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Not known,0
405,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Total,Total,4480
406,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Sex,Female,595
407,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Sex,Male,295
408,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Sex,Other,0
409,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,England,55
410,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Scotland,780
411,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Wales,5
412,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Northern Ireland,5
413,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Other UK,0
414,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Total UK  ,845
415,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Other European Union,25
416,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Non-European Union,20
417,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Total Non-UK,45
418,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Not known,0
419,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2015/16,Total,Total,885
462,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Sex,Female,4875
