,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
294,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Sex,Female,8270
295,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Sex,Male,6100
296,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Sex,Other,0
297,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Domicile,England,1465
298,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Domicile,Scotland,7900
299,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Domicile,Wales,35
300,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Domicile,Northern Ireland,185
301,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Domicile,Other UK,10
302,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Domicile,Total UK  ,9590
303,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Domicile,Other European Union,2865
304,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Domicile,Non-European Union,1915
305,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Domicile,Total Non-UK,4780
306,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Domicile,Not known,0
307,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2017/18,Total,Total,14370
308,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Sex,Female,6990
309,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Sex,Male,5440
310,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Sex,Other,0
311,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Domicile,England,1245
312,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Domicile,Scotland,6310
313,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Domicile,Wales,30
314,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Domicile,Northern Ireland,165
315,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Domicile,Other UK,10
316,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Domicile,Total UK  ,7755
317,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Domicile,Other European Union,2820
318,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Domicile,Non-European Union,1845
319,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Domicile,Total Non-UK,4670
320,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Domicile,Not known,0
321,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2017/18,Total,Total,12425
322,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Sex,Female,1285
323,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Sex,Male,660
324,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Sex,Other,0
325,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Domicile,England,220
326,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Domicile,Scotland,1590
327,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Domicile,Wales,5
328,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Domicile,Northern Ireland,15
329,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Domicile,Other UK,0
330,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Domicile,Total UK  ,1835
331,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Domicile,Other European Union,40
332,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Domicile,Non-European Union,70
333,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Domicile,Total Non-UK,110
334,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Domicile,Not known,0
335,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2017/18,Total,Total,1945
378,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2017/18,Sex,Female,2930
379,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2017/18,Sex,Male,2115
380,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2017/18,Sex,Other,0
381,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2017/18,Domicile,England,425
382,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2017/18,Domicile,Scotland,2755
383,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2017/18,Domicile,Wales,15
384,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2017/18,Domicile,Northern Ireland,40
