,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
294,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Sex,Female,7830
295,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Sex,Male,6210
296,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Sex,Other,0
297,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Domicile,England,1485
298,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Domicile,Scotland,8310
299,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Domicile,Wales,35
300,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Domicile,Northern Ireland,230
301,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Domicile,Other UK,5
302,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Domicile,Total UK  ,10065
303,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Domicile,Other European Union,2455
304,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Domicile,Non-European Union,1515
305,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Domicile,Total Non-UK,3970
306,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Domicile,Not known,0
307,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2014/15,Total,Total,14035
308,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2014/15,Sex,Female,6380
309,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2014/15,Sex,Male,5430
310,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2014/15,Sex,Other,0
311,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2014/15,Domicile,England,1320
312,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2014/15,Domicile,Scotland,6400
313,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2014/15,Domicile,Wales,30
314,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2014/15,Domicile,Northern Ireland,215
315,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2014/15,Domicile,Other UK,5
